repository,number,title,bodyText,publishedAt,closed,closedAt,commentCount
freeCodeCamp/freeCodeCamp,1,Facebook registration is not working ,"The facebook registration did not work. I was redirected to my facebook were there was a messege saying ""This app has no facebook permissions""",2014-12-24T19:37:16Z,1,2014-12-26T14:42:39Z,10
freeCodeCamp/freeCodeCamp,3,Firefox Challenge 14 Dead Chrome Link,"Hello,
On Firefox 34 on a Windows 7 32-bit PC, the link to download Google Chrome on challenge 14 is not working.",2014-12-26T04:12:26Z,1,2014-12-27T05:57:27Z,1
freeCodeCamp/freeCodeCamp,4,Can't login with Github,"I can't login with Github. When I try, it logs me into someone else's account. I didn't realize it was logging me into someone else's account, so I deleted the account once logged in, and then tried again. I was again logged into someone else's account (a different user this time).
Out of curiosity, I had to try deleting this user account as well (sorry!), and when I logged back in again with Github, I was signed in as a different user again. I assume these were all real accounts because they had different user profile pics and such.
It had been a few weeks since I had logged in. Pre-switching away from hipchat, if that helps.",2014-12-28T19:19:59Z,1,2015-01-17T19:48:02Z,12
freeCodeCamp/freeCodeCamp,6,Dead teamviewer hyperlink on Challenge 34,"Hello,
I was attempting to use the hyperlink to Team Viewer on Challenge 34, but it did not work. It lead me to this screen. I am using latest Firefox on Windows 7 32-Bit.",2014-12-31T05:13:20Z,1,2014-12-31T07:40:51Z,2
freeCodeCamp/freeCodeCamp,11,Grab larger Twitter image?,"The new bio's page needs a larger image than is currently being pulled during sign-up with Twitter. Right now, the default image is blurry. Not sure if this is also happening with other authorization methods. It is an easy fix by changing it on the form, but I'm assuming this could be a easier user experience.
For example, the image from my original Twitter sign-up pulled this image ""normal"" image:
https://pbs.twimg.com/profile_images/539515557184167936/JqJXzV9x_normal.jpeg
But it would be better to go with the original:
https://pbs.twimg.com/profile_images/539515557184167936/JqJXzV9x.jpeg
Here is a link to the twitter documentation specific to these image sizes: https://dev.twitter.com/overview/general/user-profile-images-and-banners",2015-01-09T16:25:28Z,1,2015-01-12T19:21:08Z,2
freeCodeCamp/freeCodeCamp,15,Email Password Reset Form Not Working,Password form button does not respond to click. Additionally the jumbotron div that is meant to have a white background for the form is too short (only approx 96px and form is 317px).,2015-01-10T05:12:43Z,1,2015-01-13T06:44:10Z,5
freeCodeCamp/freeCodeCamp,17,Blank account update form,"It flashes the form fields for a second and then is blank between ""Update your profile here:"" and ""Actions"" headings. Here's the console error:
TypeError: Cannot read property 'toLowerCase' of undefined
at http://www.freecodecamp.com/assets/main-f8954d61b57a2ddb3277b1552c0c3545.js:49:72
at http://ajax.googleapis.com/ajax/libs/angularjs/1.3.8/angular.min.js:81:132
at http://ajax.googleapis.com/ajax/libs/angularjs/1.3.8/angular.min.js:112:276
at l.$eval (http://ajax.googleapis.com/ajax/libs/angularjs/1.3.8/angular.min.js:126:84)
at l.$digest (http://ajax.googleapis.com/ajax/libs/angularjs/1.3.8/angular.min.js:123:195)
at l.$apply (http://ajax.googleapis.com/ajax/libs/angularjs/1.3.8/angular.min.js:126:362)
at l (http://ajax.googleapis.com/ajax/libs/angularjs/1.3.8/angular.min.js:81:422)
at O (http://ajax.googleapis.com/ajax/libs/angularjs/1.3.8/angular.min.js:86:51)
at XMLHttpRequest.w.onload (http://ajax.googleapis.com/ajax/libs/angularjs/1.3.8/angular.min.js:87:78)
That looks like it's on the $scope.user.profile.username.toLowerCase() on line 49. The JSON from my /account/api doesn't have a user.profile.username key.
Maybe it would be a simple fix of piping?
$scope.user.profile.username = $scope.user.profile.username.toLowerCase() || '';",2015-01-12T14:42:08Z,1,2015-01-12T20:04:16Z,4
freeCodeCamp/freeCodeCamp,18,"""Fork me on GitHub"" ribbon is positioned wrongly when error notification is displayed","If I try to view a FCC user by entering a URL (freecodecamp.com/namehere) and the user isn't found, an error is displayed when I return to the FCC page (""We couldn't find a Code Camper with that username.""). The error bubble pushes down the ""Fork me on GitHub"" ribbon so that it isn't flush with the top navbar of the page.",2015-01-12T14:58:51Z,1,2015-01-17T05:50:54Z,2
freeCodeCamp/freeCodeCamp,19,Account Page Loading Error (Chrome),"When opening http://www.freecodecamp.com/account in chrome, the ""update your profile"" section does not load any fields underneath.",2015-01-12T19:17:38Z,1,2015-01-12T20:05:14Z,1
freeCodeCamp/freeCodeCamp,20,Account Page Loading Error (IE),"When loading http://www.freecodecamp.com/account in IE, it does not load properly.",2015-01-12T19:18:22Z,1,2015-01-17T19:49:20Z,7
freeCodeCamp/freeCodeCamp,24,typo on http://www.freecodecamp.com/about,Last paragraph - 'persevere' is spelled incorrectly as 'perservere',2015-01-14T14:51:05Z,1,2015-01-14T15:37:20Z,4
