Repository Name,Issue Number,Stack Overflow related issue quantity,Related found
freeCodeCamp/freeCodeCamp,40032,0,false
freeCodeCamp/freeCodeCamp,40033,0,false
freeCodeCamp/freeCodeCamp,40036,0,false
freeCodeCamp/freeCodeCamp,40041,0,false
freeCodeCamp/freeCodeCamp,40042,0,false
freeCodeCamp/freeCodeCamp,40043,0,false
freeCodeCamp/freeCodeCamp,40044,0,false
freeCodeCamp/freeCodeCamp,40046,0,false
freeCodeCamp/freeCodeCamp,40050,0,false
freeCodeCamp/freeCodeCamp,40051,0,false
freeCodeCamp/freeCodeCamp,40052,0,false
freeCodeCamp/freeCodeCamp,40053,0,false
freeCodeCamp/freeCodeCamp,40055,0,false
freeCodeCamp/freeCodeCamp,40058,0,false
freeCodeCamp/freeCodeCamp,40062,0,false
freeCodeCamp/freeCodeCamp,40063,0,false
freeCodeCamp/freeCodeCamp,40064,0,false
freeCodeCamp/freeCodeCamp,40065,0,false
freeCodeCamp/freeCodeCamp,40067,0,false
freeCodeCamp/freeCodeCamp,40073,0,false
freeCodeCamp/freeCodeCamp,40074,0,false
freeCodeCamp/freeCodeCamp,40089,0,false
freeCodeCamp/freeCodeCamp,40111,0,false
freeCodeCamp/freeCodeCamp,40112,0,false
freeCodeCamp/freeCodeCamp,40113,0,false
freeCodeCamp/freeCodeCamp,40115,0,false
freeCodeCamp/freeCodeCamp,40117,0,false
freeCodeCamp/freeCodeCamp,40119,0,false
freeCodeCamp/freeCodeCamp,40124,0,false
freeCodeCamp/freeCodeCamp,40125,0,false
freeCodeCamp/freeCodeCamp,40128,0,false
freeCodeCamp/freeCodeCamp,40143,0,false
freeCodeCamp/freeCodeCamp,40158,0,false
freeCodeCamp/freeCodeCamp,40159,0,false
freeCodeCamp/freeCodeCamp,40163,0,false
freeCodeCamp/freeCodeCamp,40164,0,false
freeCodeCamp/freeCodeCamp,40165,0,false
freeCodeCamp/freeCodeCamp,40166,0,false
freeCodeCamp/freeCodeCamp,40167,0,false
freeCodeCamp/freeCodeCamp,40170,0,false
vuejs/vue,11685,0,false
vuejs/vue,11686,0,false
vuejs/vue,11687,0,false
vuejs/vue,11688,0,false
vuejs/vue,11689,0,false
vuejs/vue,11690,0,false
vuejs/vue,11693,0,false
vuejs/vue,11694,0,false
vuejs/vue,11695,0,false
vuejs/vue,11696,0,false
vuejs/vue,11697,0,false
vuejs/vue,11701,0,false
vuejs/vue,11703,0,false
vuejs/vue,11708,0,false
vuejs/vue,11709,0,false
vuejs/vue,11710,0,false
vuejs/vue,11713,0,false
vuejs/vue,11714,0,false
vuejs/vue,11715,0,false
vuejs/vue,11716,0,false
vuejs/vue,11718,0,false
vuejs/vue,11719,0,false
vuejs/vue,11720,0,false
vuejs/vue,11722,0,false
vuejs/vue,11727,0,false
vuejs/vue,11728,0,false
vuejs/vue,11730,0,false
vuejs/vue,11732,0,false
vuejs/vue,11733,0,false
vuejs/vue,11734,0,false
vuejs/vue,11735,0,false
vuejs/vue,11736,0,false
vuejs/vue,11738,0,false
vuejs/vue,11742,0,false
vuejs/vue,11743,0,false
vuejs/vue,11745,0,false
vuejs/vue,11747,0,false
vuejs/vue,11748,0,false
vuejs/vue,11751,0,false
vuejs/vue,11752,0,false
facebook/react,20111,0,false
facebook/react,20112,0,false
facebook/react,20113,0,false
facebook/react,20116,0,false
facebook/react,20117,0,false
facebook/react,20118,0,false
facebook/react,20119,0,false
facebook/react,20120,0,false
facebook/react,20122,0,false
facebook/react,20123,0,false
facebook/react,20124,0,false
facebook/react,20125,0,false
facebook/react,20126,0,false
facebook/react,20127,0,false
facebook/react,20130,0,false
facebook/react,20131,0,false
facebook/react,20132,0,false
