nameWithOwner,primaryLanguage,stars,totalIssues,openIssues,closedIssues
freeCodeCamp/freeCodeCamp,JavaScript,316204,14867,215,14652
vuejs/vue,JavaScript,174468,9225,331,8894
facebook/react,JavaScript,158191,9697,474,9223
twbs/bootstrap,JavaScript,144964,19681,323,19358
airbnb/javascript,JavaScript,100935,1031,77,954
d3/d3,JavaScript,94221,2057,5,2052
facebook/react-native,JavaScript,90959,20343,823,19520
facebook/create-react-app,JavaScript,83256,6373,604,5769
trekhleb/javascript-algorithms,JavaScript,82939,169,69,100
axios/axios,JavaScript,78271,2621,194,2427
nodejs/node,JavaScript,74359,12334,931,11403
30-seconds/30-seconds-of-code,JavaScript,64842,287,0,287
mrdoob/three.js,JavaScript,64364,10101,443,9658
FortAwesome/Font-Awesome,JavaScript,64216,16626,5550,11076
mui-org/material-ui,JavaScript,61998,11937,408,11529
angular/angular.js,JavaScript,59504,9007,391,8616
webpack/webpack,JavaScript,56188,7563,249,7314
vercel/next.js,JavaScript,55077,7545,609,6936
goldbergyoni/nodebestpractices,JavaScript,54266,215,20,195
jquery/jquery,JavaScript,54112,2059,59,2000
hakimel/reveal.js,JavaScript,53497,1896,524,1372
atom/atom,JavaScript,53390,16140,557,15583
socketio/socket.io,JavaScript,51013,2901,513,2388
chartjs/Chart.js,JavaScript,50782,5436,272,5164
expressjs/express,JavaScript,50649,3399,97,3302
typicode/json-server,JavaScript,50197,905,497,408
awesome-selfhosted/awesome-selfhosted,JavaScript,49597,548,66,482
gothinkster/realworld,JavaScript,49058,386,227,159
adam-p/markdown-here,JavaScript,48737,560,261,299
Semantic-Org/Semantic-UI,JavaScript,48618,6135,913,5222
h5bp/html5-boilerplate,JavaScript,47688,1193,2,1191
gatsbyjs/gatsby,JavaScript,47619,11690,447,11243
lodash/lodash,JavaScript,46936,3804,104,3700
resume/resume.github.com,JavaScript,46566,87,31,56
yangshun/tech-interview-handbook,JavaScript,45765,27,8,19
moment/moment,JavaScript,45062,3795,59,3736
apache/incubator-echarts,JavaScript,43385,12634,1633,11001
meteor/meteor,JavaScript,42025,8397,108,8289
ReactTraining/react-router,JavaScript,41909,5697,35,5662
scutan90/DeepLearning-500-questions,JavaScript,41132,162,85,77
NARKOZ/hacker-scripts,JavaScript,40071,61,34,27
ryanmcdermott/clean-code-javascript,JavaScript,39899,96,31,65
jaywcjlove/awesome-mac,JavaScript,39608,271,58,213
yarnpkg/yarn,JavaScript,39150,6048,2276,3772
sveltejs/svelte,JavaScript,38898,3240,490,2750
Dogfalo/materialize,JavaScript,38102,5163,604,4559
prettier/prettier,JavaScript,37977,4587,656,3931
serverless/serverless,JavaScript,37833,4698,792,3906
babel/babel,JavaScript,37654,7374,655,6719
azl397985856/leetcode,JavaScript,37483,200,22,178
nwjs/nw.js,JavaScript,37314,6783,752,6031
juliangarnier/anime,JavaScript,37131,579,123,456
parcel-bundler/parcel,JavaScript,36948,3270,534,2736
ColorlibHQ/AdminLTE,JavaScript,36517,2310,52,2258
impress/impress.js,JavaScript,35941,439,45,394
TryGhost/Ghost,JavaScript,35285,5943,60,5883
leonardomso/33-js-concepts,JavaScript,33502,26,2,24
Unitech/pm2,JavaScript,33489,4119,270,3849
mozilla/pdf.js,JavaScript,32686,7113,622,6491
mermaid-js/mermaid,JavaScript,32503,1196,279,917
adobe/brackets,JavaScript,32134,9575,2552,7023
gulpjs/gulp,JavaScript,31977,1813,22,1791
algorithm-visualizer/algorithm-visualizer,JavaScript,31795,76,12,64
iamkun/dayjs,JavaScript,31787,563,82,481
hexojs/hexo,JavaScript,31502,3587,77,3510
styled-components/styled-components,JavaScript,31364,2226,159,2067
nuxt/nuxt.js,JavaScript,31041,5621,381,5240
sahat/hackathon-starter,JavaScript,31014,588,13,575
alvarotrigo/fullPage.js,JavaScript,30984,3597,162,3435
strapi/strapi,JavaScript,30508,4262,243,4019
immutable-js/immutable-js,JavaScript,30329,1177,152,1025
koajs/koa,JavaScript,30142,805,19,786
chinese-poetry/chinese-poetry,JavaScript,30131,127,52,75
videojs/video.js,JavaScript,29790,4222,259,3963
zenorocha/clipboard.js,JavaScript,29410,542,9,533
Leaflet/Leaflet,JavaScript,29280,4400,417,3983
RocketChat/Rocket.Chat,JavaScript,28596,11784,1681,10103
photonstorm/phaser,JavaScript,28353,3394,61,3333
jondot/awesome-react-native,JavaScript,28338,54,21,33
quilljs/quill,JavaScript,27947,2734,906,1828
jashkenas/backbone,JavaScript,27683,2385,56,2329
preactjs/preact,JavaScript,27443,1303,103,1200
NervJS/taro,JavaScript,27287,6263,731,5532
tastejs/todomvc,JavaScript,26972,739,115,624
caolan/async,JavaScript,26782,1061,6,1055
vuejs/vue-cli,JavaScript,26617,4589,529,4060
